2025-08-26 11:04:24 0-0/hdc I/I00000/HiLog: ========Zeroth log of type: init
 2025-08-26 11:04:24 596-596/hdc I/I02C01/hmos_cust_carrier_mount/CustCarrierMount: MountCarrierToShared start
 2025-08-26 11:04:24 596-596/hdc I/I02C01/hmos_cust_carrier_mount/CustCarrierMount: success to mount carrier to shared
 2025-08-26 11:04:25 1148-1148/hdc W/I02C01/hmos_cust_carrier_mount/CustCarrierMount: not exsit CUST_GLOBAL_CARRIER_DIR or COTA_PARAM_CARRIER_DIR
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 54991-54991/hdc W/A06666/AppGalleryService/AG/AppGallery: [UpdateNotifyInfoUtil]:updateText is empty, no need to send notify.
 2025-09-25 14:46:34 2998-2998/hdc W/A01B01/com.ohos.sceneboard/HOME: SCBDesktop --> onDesktopAnimateScaleChanged changeScale to 0.9250908226875368, due to:doFollowAnimate
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc W/A01B01/com.ohos.sceneboard/HOME: SCBDesktop --> onDesktopAnimateScaleChanged changeScale to 0.9237670927927382, due to:doFollowAnimate
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc W/A01B01/com.ohos.sceneboard/HOME: SCBDesktop --> onDesktopAnimateScaleChanged changeScale to 0.9224724027975048, due to:doFollowAnimate
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc W/A01B01/com.ohos.sceneboard/HOME: SCBDesktop --> onDesktopAnimateScaleChanged changeScale to 0.921216679428138, due to:doFollowAnimate
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
 2025-09-25 14:46:34 2998-2998/hdc E/A04200/com.ohos.sceneboard/WINDOW: SCBScreenSessionManager --> main_extend return main screen.
